,,注册表,登录表,,,,辅助列,,,,,,,,,,,
id,role_id,reg_date,role_id,country,log_date,log_time,day_diff,,,,,,,,,,,
1,1001,2026/1/29,1001,1,2026/1/29,2026/1/29 16:00,1,,,,,,,,,,,
2,1001,2026/1/30,1001,2,2026/1/30,,1,,,,,,,,,,,
,1002,2026/1/30,1002,1,2026/2/1,,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,"row_number() over(partition by role_id,log_date order by log_time)",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,log_date,,,country,,,,,,,
,,,,,,,1001,2026/1/29,2026/1/29 16:00,,1,,,,,,,
,,,,,,,,2026/1/29,2026/1/29 16:20,,2,,,,,,,
,,,,,,,,2026/1/30,,,3,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,row_number() over(partition by role_id order by log_date),,,,,,,,,,
,按用户,,,,,,,,,,,,,,,,,
,role_id,注册日期,,,,,,,,,,,,,,,,
,,reg_date<=log_date,,,,,,,,,,,,,,,,
,,reg_date<= pay_date,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,from login,,,from recharge,,,,,,,
,churn:流失用户,,,,流失用户,连续登录用户,,left join register,,,left join register,,,,,,,
,,,,,回流用户,,,,,,,,,,,,,
,,,,,,,,,,,t2.reg_date t1.log_date,,,t2.reg_date  t1.log_date,,,,
,,,,,,,,,,,day_diff,,,,,,,
,group by t2.reg_date,,,,,,,,,,case when,,,,,,,
,,,,,登录表,,,,,,,,,,,,,
,,,,,role_id,log_date,country,zone_offset,uuid,pre_log_date,rn,date_rn,,,log_date,log_time,reg_date,reg_time
,连续登录,,,,1001,2026/1/29,1,8,uuid_1001_001,-,1,2026/1/28,,,,,,
,未连续登录,,,,1001,2026/1/30,1,8,uuid_1001_002,2026/1/29,2,2026/1/28,,,,,,
,未连续登录后，重新登陆,,,,1001,2026/1/31,1,8,uuid_1001_003,,3,2026/1/28,,"role_id,log_date ",,,,
,,,,,1001,2026/2/1,1,8,uuid_1001_004,,4,2026/1/28,,,,,,
,,,,,1002,2026/1/29,2,9,uuid_1002_001,,1,2026/1/28,,group by date_rn，role_id,,,,
,,,,,1002,2026/1/30,2,9,uuid_1002_002,,2,2026/1/28,,,,count(*),,
,,,,,1003,2026/1/30,1,8,uuid_1003_001,,1,2026/1/29,,,28号,,,
,,,,,1003,2026/2/1,1,8,uuid_1003_002,,2,2026/1/30,,,29号,,,
,,,,,1004,2026/1/29,3,-5,uuid_1004_001,,1,2026/1/28,,,30号,,,
,,,,,1004,2026/1/30,3,-5,uuid_1004_002,,2,2026/1/28,,,,,,
,,,,,1004,2026/2/2,3,-5,uuid_1004_003,,3,2026/1/30,,连续登录三天以上,having count(*)>3,,,
,,,,,1005,2026/1/30,1,8,uuid_1005_001,,1,2026/1/29,,,,,,
,,,,,1005,2026/1/31,1,8,uuid_1005_002,,2,2026/1/29,,,,,,
,,,,,1006,2026/1/29,2,9,uuid_1006_001,,1,2026/1/28,,,,,,
,,,,,1007,2026/1/30,1,8,uuid_1007_001,,1,2026/1/29,,,,,,
,,,,,1007,2026/2/1,1,8,uuid_1007_002,,2,2026/1/30,,,,,,
,,,,,1008,2026/1/31,3,-5,uuid_1008_001,,1,2026/1/30,,,,,,
,,,,,1009,2026/1/29,1,8,uuid_1009_001,,1,2026/1/28,,,,,,
,,,,,1009,2026/1/30,1,8,uuid_1009_002,,2,2026/1/28,,,,,,
,,,,,1010,2026/1/30,2,9,uuid_1010_001,,1,2026/1/29,,,,,,
